"","...1","Exercise","BMI"
"1",1,55.3846,1.83205895567991
"2",2,51.5385,1.78921942663556
"3",3,46.1538,1.732105004691
"4",4,42.8205,1.61787244821595
"5",5,40.7692,1.50363617915497
"6",6,38.7179,1.37512501719378
"7",7,35.641,1.1894957207021
"8",8,33.0769,1.10382037519933
"9",9,28.9744,0.989587818724285
"10",10,26.1538,0.875355262249237
"11",11,23.0769,0.689725965757559
"12",12,22.3077,0.51837527475202
"13",13,22.3077,0.347024583746482
"14",14,23.3333,0.189952498227084
"15",15,25.8974,0.118555758210455
"16",16,29.4872,0.118555758210455
"17",17,32.8205,0.118555758210455
"18",18,35.3846,0.132838076282524
"19",19,40.2564,0.132838076282524
"20",20,44.1026,0.189952498227084
"21",21,46.6667,0.232792027271433
"22",22,50,0.275627843729853
"23",23,53.0769,0.289906449215993
"24",24,56.6667,0.304185054702133
"25",25,59.2308,0.375581794718762
"26",26,61.2821,0.53265388023816
"27",27,61.5385,0.689725965757559
"28",28,61.7949,0.789679916746467
"29",29,57.4359,0.275627843729853
"30",30,54.8718,0.075719941752035
"31",31,52.5641,-0.0670735382812235
"32",32,48.2051,-0.35265678576181
"33",33,49.4872,-0.209863305728552
"34",34,51.0256,-0.138466565711923
"35",35,45.3846,-0.42404981319251
"36",36,42.8205,-0.566843293225768
"37",37,38.7179,-0.609679109684188
"38",38,35.1282,-0.652518638728537
"39",39,32.5641,-0.581121898711908
"40",40,30,-0.40977120770637
"41",41,33.5897,-0.238420516700832
"42",42,36.6667,-0.0813521437673633
"43",43,38.2051,0.0471627307797554
"44",44,29.7436,-0.43833213126458
"45",45,29.7436,-0.581121898711908
"46",46,30,-0.695354455186957
"47",47,32.0513,-0.781029800689726
"48",48,35.8974,-0.838147935220215
"49",49,41.0256,-0.838147935220215
"50",50,44.1026,-0.823869329734076
"51",51,47.1795,-0.709633060673097
"52",52,49.4872,-0.609679109684188
"53",53,51.5385,-0.481167947722999
"54",54,53.5897,-0.38121399673409
"55",55,55.1282,-0.266981440259041
"56",56,56.6667,-0.209863305728552
"57",57,59.2308,-0.124187960225783
"58",58,62.3077,-0.0670735382812235
"59",59,64.8718,-0.0385126147230139
"60",60,67.9487,0.00432320173540589
"61",61,70.5128,0.218513421785294
"62",62,71.5385,0.475535745707671
"63",63,71.5385,0.618329225740929
"64",64,69.4872,0.803958522232607
"65",65,46.9231,1.1894957207021
"66",66,48.2051,1.3465678062215
"67",67,50,1.38940362267992
"68",68,53.0769,1.38940362267992
"69",69,55.3846,1.4179608336522
"70",70,56.6667,1.4179608336522
"71",71,56.1538,1.30372827717715
"72",72,53.8462,1.21805293167438
"73",73,51.2821,1.14665990424368
"74",74,50,1.14665990424368
"75",75,47.9487,1.10382037519933
"76",76,29.7436,0.446978534735391
"77",77,29.7436,0.53265388023816
"78",78,31.2821,0.5469324857243
"79",79,57.9487,1.91773430118268
"80",80,61.7949,1.90345569569654
"81",81,64.8718,1.84633756116605
"82",82,68.4615,1.71782639920486
"83",83,70.7692,1.60359013014388
"84",84,72.0513,1.43224315172427
"85",85,73.8462,1.31800688266329
"86",86,75.1282,1.16093850972982
"87",87,76.6667,1.01814502969657
"88",88,77.6923,0.875355262249237
"89",89,79.7436,0.704004571243698
"90",90,81.7949,0.461257140221531
"91",91,83.3333,0.275627843729853
"92",92,85.1282,0.132838076282524
"93",93,86.4103,-0.00995540375073394
"94",94,87.9487,-0.0670735382812235
"95",95,89.4872,-0.195584700242412
"96",96,93.3333,-0.295538651231321
"97",97,95.3846,-0.40977120770637
"98",98,98.2051,-0.524003764181419
"99",99,56.6667,-0.266981440259041
"100",100,59.2308,-0.35265678576181
"101",101,60.7692,-0.524003764181419
"102",102,63.0769,-0.695354455186957
"103",103,64.1026,-0.838147935220215
"104",104,64.359,-0.880983751678635
"105",105,74.359,-0.923823280722984
"106",106,71.2821,-0.923823280722984
"107",107,67.9487,-0.952380491695264
"108",108,65.8974,-1.02377723171189
"109",109,63.0769,-1.06661304817031
"110",110,61.2821,-1.06661304817031
"111",111,58.7179,-1.09517397172852
"112",112,55.1282,-1.09517397172852
"113",113,52.3077,-1.09517397172852
"114",114,49.7436,-1.1237311827008
"115",115,47.4359,-1.18084931723129
"116",116,44.8718,-1.26652095014813
"117",117,48.7179,-1.22368513368971
"118",118,51.2821,-1.22368513368971
"119",119,54.1026,-1.22368513368971
"120",120,56.1538,-1.25224234466199
"121",121,52.0513,-1.30936047919248
"122",122,48.7179,-1.36647861372297
"123",123,47.1795,-1.40931443018139
"124",124,46.1538,-1.55210791021465
"125",125,50.5128,-1.42359303566753
"126",126,53.8462,-1.39503582469525
"127",127,57.4359,-1.39503582469525
"128",128,60,-1.38075721920911
"129",129,64.1026,-1.38075721920911
"130",130,66.9231,-1.38075721920911
"131",131,71.2821,-1.38075721920911
"132",132,74.359,-1.38075721920911
"133",133,78.2051,-1.38075721920911
"134",134,67.9487,-1.45215024663981
"135",135,68.4615,-1.58066512118693
"136",136,68.2051,-1.6663404666897
"137",137,37.6923,-0.819109794572029
"138",138,39.4872,-0.833388400058169
"139",139,91.2821,-0.233660981538785
"140",140,50,1.77970035631146
"141",141,47.9487,1.75114314533918
"142",142,44.1026,1.66546779983642
